slugSeason,yearSeason,nameTeam,idTeam,namePlayer,numberJerseySeason,groupPosition,heightInches,weightLBS,dateBirth,agePlayerSeason,countSeasons,nameSchool,idPlayer,isRookie
1996-97,1996,Atlanta Hawks,1610612737,Eldridge Recasner,5,G,76,190,12/14/67,29,2,Washington,695,FALSE
1996-97,1996,Atlanta Hawks,1610612737,Steven Smith,8,G,80,215,3/31/69,28,5,Michigan State,120,FALSE
1996-97,1996,Atlanta Hawks,1610612737,Mookie Blaylock,10,G,73,185,3/20/67,30,7,Oklahoma,302,FALSE
1996-97,1996,Atlanta Hawks,1610612737,Priest Lauderdale,15,C,88,343,8/31/73,23,0,NA,968,TRUE
1996-97,1996,Atlanta Hawks,1610612737,Jon Barry,17,G,77,205,7/25/69,27,4,Georgia Tech,468,FALSE
1996-97,1996,Atlanta Hawks,1610612737,Ivano Newbill,28,F,82,245,12/12/70,26,1,Georgia Tech,1096,FALSE
1996-97,1996,Atlanta Hawks,1610612737,Christian Laettner,32,F,83,245,8/17/69,27,4,Duke,363,FALSE
1996-97,1996,Atlanta Hawks,1610612737,Tyrone Corbin,33,F,78,225,12/31/62,34,11,DePaul,895,FALSE
1996-97,1996,Atlanta Hawks,1610612737,Darrin Hancock,35,F,79,205,11/3/71,25,2,Kansas,241,FALSE
1996-97,1996,Atlanta Hawks,1610612737,Henry James,42,F,80,220,7/29/65,31,5,St. Mary's (TX),1080,FALSE
1996-97,1996,Atlanta Hawks,1610612737,Alan Henderson,44,F,81,235,12/2/72,24,1,Indiana,673,FALSE
1996-97,1996,Atlanta Hawks,1610612737,Dikembe Mutombo,55,C,86,250,6/25/66,31,5,Georgetown,87,FALSE
1996-97,1996,Boston Celtics,1610612738,David Wesley,4,G,73,198,11/14/70,26,3,Baylor,133,FALSE
1996-97,1996,Boston Celtics,1610612738,Michael Hawkins,5,G,72,178,10/28/72,24,0,Xavier,1138,TRUE
1996-97,1996,Boston Celtics,1610612738,Dee Brown,7,G,74,192,11/29/68,28,6,Jacksonville,244,FALSE
1996-97,1996,Boston Celtics,1610612738,Antoine Walker,8,F,81,224,8/12/76,20,0,Kentucky,952,TRUE
1996-97,1996,Boston Celtics,1610612738,Todd Day,13,W,78,188,1/7/70,27,4,Arkansas,103,FALSE
1996-97,1996,Boston Celtics,1610612738,Nate Driggers,27,W,77,215,10/12/73,23,0,Montevallo,1041,TRUE
1996-97,1996,Boston Celtics,1610612738,Marty Conlon,30,F,83,245,1/19/68,29,4,Providence,55,FALSE
1996-97,1996,Boston Celtics,1610612738,Steve Hamer,42,C,84,245,11/13/73,23,0,Tennessee,984,TRUE
1996-97,1996,Boston Celtics,1610612738,Brett Szabo,43,C,83,230,2/1/68,29,0,Augustana (SD),1136,TRUE
1996-97,1996,Boston Celtics,1610612738,Rick Fox,44,W,79,249,7/24/69,27,5,North Carolina,296,FALSE
1996-97,1996,Boston Celtics,1610612738,Alton Lister,53,C-F,84,245,10/1/58,38,14,Arizona State,175,FALSE
1996-97,1996,Boston Celtics,1610612738,Eric Williams,55,F,80,220,7/17/72,24,1,Providence,677,FALSE
1996-97,1996,Brooklyn Nets,1610612751,Eric Montross,0,C,84,270,9/23/71,25,2,North Carolina,376,FALSE
1996-97,1996,Brooklyn Nets,1610612751,Sam Cassell,10,G,75,185,11/18/69,27,3,Florida State,208,FALSE
1996-97,1996,Brooklyn Nets,1610612751,Kendall Gill,13,W,77,216,5/25/68,29,6,Illinois,383,FALSE
1996-97,1996,Brooklyn Nets,1610612751,Chris Gatling,15,C,82,230,9/3/67,29,5,Old Dominion,423,FALSE
1996-97,1996,Brooklyn Nets,1610612751,Kevin Edwards,21,G,75,210,10/30/65,31,8,DePaul,236,FALSE
1996-97,1996,Brooklyn Nets,1610612751,Jim Jackson,22,G,78,215,10/14/70,26,4,Ohio State,754,FALSE
1996-97,1996,Brooklyn Nets,1610612751,Kerry Kittles,30,G,77,179,6/12/74,23,0,Villanova,954,TRUE
1996-97,1996,Brooklyn Nets,1610612751,Yinka Dare,33,C-F,84,265,10/10/72,24,2,George Washington,212,FALSE
1996-97,1996,Brooklyn Nets,1610612751,Xavier McDaniel,34,F,79,218,6/4/63,34,10,Wichita State,1365,FALSE
1996-97,1996,Brooklyn Nets,1610612751,Joe Kleine,35,C,84,271,1/4/62,35,11,Arkansas,170,FALSE
1996-97,1996,Brooklyn Nets,1610612751,Robert Werdann,41,C,83,250,9/12/70,26,0,St. John's (NY),438,TRUE
1996-97,1996,Brooklyn Nets,1610612751,Tony Massenburg,44,F,81,250,7/31/67,29,4,Maryland,763,FALSE
1996-97,1996,Brooklyn Nets,1610612751,Jack Haley,54,C,82,242,1/27/64,33,7,California-Los Angeles,917,FALSE
1996-97,1996,Charlotte Hornets,1610612766,Tony Delk,0,G,74,189,1/28/74,23,0,Kentucky,960,TRUE
1996-97,1996,Charlotte Hornets,1610612766,Muggsy Bogues,1,G,63,141,1/9/65,32,9,Wake Forest,177,FALSE
1996-97,1996,Charlotte Hornets,1610612766,Donald Royal,5,F,80,218,5/22/66,31,6,Notre Dame,140,FALSE
1996-97,1996,Charlotte Hornets,1610612766,Rafael Addison,7,F,80,241,7/22/64,32,5,Syracuse,912,FALSE
1996-97,1996,Charlotte Hornets,1610612766,Vlade Divac,12,C,85,260,2/3/68,29,7,NA,124,FALSE
1996-97,1996,Charlotte Hornets,1610612766,Anthony Mason,14,F,80,250,12/14/66,30,7,Tennessee State,193,FALSE
1996-97,1996,Charlotte Hornets,1610612766,Ricky Pierce,21,G,76,215,8/19/59,37,14,Rice,894,FALSE
1996-97,1996,Charlotte Hornets,1610612766,Dell Curry,30,G,77,205,6/25/64,33,10,Virginia Tech,209,FALSE
1996-97,1996,Charlotte Hornets,1610612766,Malik Rose,31,F,79,250,11/23/74,22,0,Drexel,990,TRUE
1996-97,1996,Charlotte Hornets,1610612766,Tony Smith,34,G,76,205,6/14/68,29,6,Marquette,380,FALSE
1996-97,1996,Charlotte Hornets,1610612766,Glen Rice,41,W,80,220,5/28/67,30,7,Michigan,779,FALSE
1996-97,1996,Charlotte Hornets,1610612766,Matt Geiger,52,F-C,85,245,9/10/69,27,4,Georgia Tech,761,FALSE
1996-97,1996,Chicago Bulls,1610612741,Robert Parish,0,C,85,244,8/30/53,43,20,Centenary (LA),305,FALSE
1996-97,1996,Chicago Bulls,1610612741,Randy Brown,1,G,74,190,5/22/68,29,5,New Mexico State,753,FALSE
