"namePlayer","idPlayer","season","gamePlayed","minutesPlayed","position","paintProp","paintFGA","paintFGP","restrictedProp","restrictedFGA","restrictedFGP","handoffPoss","handoffFreq","handoffFGA","handoffFGM","handoffFGP","cutPoss","cutFreq","cutFGA","cutFGM","cutFGP","prrollPoss","prrollFreq","prrollFGA","prrollFGM","prrollFGP","tot","unadjust","totscale","comp_adjust"
"Jeff Teague",201952,"2013-14",78,2515,"G",0.247353224,257,0.389105058,0.360923965,375,0.565333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,-0.016525911845898,2.16446154437658,-0.0017019633099984
"Lou Williams",101150,"2013-14",59,1420,"G",0.129817444,64,0.46875,0.160243408,79,0.620253165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0.0117209828784983,-0.365378181228792,0.00480159775872967
"Paul Millsap",200794,"2013-14",73,2453,"F",0.188156638,197,0.431472081,0.403056351,422,0.599526066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,0.00365785721686257,2.09720609154862,0.00325780223425103
"DeMarre Carroll",201960,"2013-14",73,2341,"F",0.127725857,82,0.341463415,0.341121495,219,0.671232877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0.0148534736311854,0.452034245449425,0.00907729617290671
"Pero Antic",203544,"2013-14",49,902,"C",0.06122449,18,0.222222222,0.244897959,72,0.638888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,-0.00298164368283006,-0.639573488911991,-0.00195195403020933
"Shelvin Mack",202714,"2013-14",72,1468,"G",0.143712575,72,0.416666667,0.291417166,146,0.54109589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,-0.0162168803329701,0.0226340466247924,-0.00801668067742635
"John Jenkins",203098,"2013-14",13,158,"G",0.047619048,2,0,0.380952381,16,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,-0.0599888981145631,-1.01206522765143,-0.0439973049932221
"Gustavo Ayon",202970,"2013-14",25,421,"F-C",0.12745098,13,0.538461538,0.754901961,77,0.506493506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,-0.0583555796305623,-0.639573488911991,-0.0382028910768307
"Al Horford",201143,"2013-14",29,958,"C-F",0.19047619,80,0.45,0.347619048,146,0.753424658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0.0612615014661667,0.0640220175958414,0.0316109371866061
"Dennis Schroder",203471,"2013-14",48,622,"G",0.218085106,41,0.317073171,0.340425532,64,0.578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,-0.0268796476044094,-0.561971043341274,-0.0171198754691975
