namePlayer,idPlayer,Season,gp,mp,position,rollPoss,rollFreq,rollPPP,cutPoss,cutFreq,cutPPP,rebPoss,rebFreq,rebPPP,transPoss,transFreq,transPPP,restrictProp,restrictFGP,paintProp,paintFGP
Justin Anderson,1626147,2018-19,48,464,W,0,0,0,0,0,0,0,0,0,0,0,0,0.324840764,0.62745098,0.140127389,0.318181818
Kevin Huerter,1628989,2018-19,75,2049,G,1,0.00129199,2,30,0.038759699,1.066669941,22,0.0284238,1.136360049,166,0.214470005,0.987951994,0.219178082,0.5625,0.187214612,0.37398374
Omari Spellman,1629016,2018-19,46,805,F,45,0.155709,1.266669989,29,0.100346003,1,48,0.166089993,0.6875,36,0.124567003,1.055559993,0.368852459,0.522222222,0.06557377,0.1875
Isaac Humphries,1629353,2018-19,5,56,C,6,0.285713997,0.5,2,0.095238104,1,3,0.142856998,1.333330035,2,0.095238104,0,0.333333333,0.428571429,0.047619048,0
Jaylen Adams,1629121,2018-19,34,428,G,0,0,0,0,0,0,2,0.0145985,0,26,0.189780998,0.461537987,0.154545455,0.411764706,0.090909091,0.2
Trae Young,1629027,2018-19,81,2503,G,0,0,0,14,0.00819193,1.142860055,25,0.0146284,1.120000005,330,0.193094997,0.993938982,0.300159236,0.530503979,0.205414013,0.468992248
Taurean Prince,1627752,2018-19,55,1552,F,0,0,0,18,0.024590199,1.611109972,14,0.0191257,0.428570986,165,0.225410004,1.024240017,0.2003367,0.647058824,0.141414141,0.369047619
Dewayne Dedmon,203473,2018-19,64,1609,C,139,0.212537994,1.280580044,100,0.152904997,1.289999962,72,0.110092001,0.722221971,78,0.119266005,1.166669965,0.370722433,0.687179487,0.134980989,0.352112676
Vince Carter,1713,2018-19,76,1330,W,31,0.058270702,0.903226018,20,0.037593999,1.450000048,17,0.031954899,0.705882013,71,0.133458996,1.140849948,0.166666667,0.58974359,0.066239316,0.387096774
Miles Plumlee,203101,2018-19,18,173,C,6,0.46153801,1,2,0.153845997,2,2,0.153845997,2,1,0.076923099,3,0.729166667,0.714285714,0.229166667,0.636363636
John Collins,1628381,2018-19,61,1828,F-C,196,0.188824997,1.244899988,170,0.163775997,1.317649961,151,0.145472002,1.165560007,116,0.111752996,1.25,0.598074609,0.698189135,0.152827918,0.377952756
Alex Poythress,1627816,2018-19,21,305,F,19,0.179244995,1.315790057,11,0.103774004,1.272729993,17,0.160377007,1,17,0.160377007,1.352939963,0.654320988,0.566037736,0.037037037,0.333333333
Kent Bazemore,203145,2018-19,67,1643,G,3,0.003386,2.666670084,27,0.030474,1.444440007,17,0.0191874,1.294119954,179,0.202031994,1.022349954,0.312590449,0.574074074,0.111432706,0.220779221
Alex Len,203458,2018-19,77,1544,C,162,0.196840992,1.092589974,117,0.142163,1.128209949,120,0.145808001,0.908333004,71,0.086269703,1.239439964,0.532407407,0.620289855,0.104938272,0.338235294
DeAndre' Bembry,1627761,2018-19,82,1931,F,1,0.00124533,0,65,0.080946503,1.246150017,28,0.034869201,1.035709977,180,0.224158993,0.888889015,0.522727273,0.586956522,0.167207792,0.330097087
Jayson Tatum,1628369,2018-19,79,2455,F,28,0.022204599,0.964286029,68,0.0539255,1.25,34,0.0269627,1.176470041,243,0.192703991,1.152259946,0.303088803,0.630573248,0.13030888,0.377777778
Jonathan Gibson,1626780,2018-19,0,0,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Brown,1627759,2018-19,74,1913,G,5,0.00509165,0.400000006,53,0.0539715,1.132079959,42,0.042769899,0.952381015,292,0.297352009,1.061640024,0.367424242,0.628865979,0.156565657,0.411290323
Brad Wanamaker,202954,2018-19,36,343,G,0,0,0,0,0,0,0,0,0,0,0,0,0.219047619,0.739130435,0.2,0.380952381
Kyrie Irving,202681,2018-19,67,2214,G,5,0.00331565,1.799999952,52,0.034482801,1.288460016,28,0.0185676,1.178570032,258,0.171088009,1.127910018,0.264302981,0.62195122,0.159548751,0.434343434
Terry Rozier,1626179,2018-19,79,1791,G,6,0.00775194,0.833333015,14,0.0180879,1.285709977,12,0.0155039,0.833333015,149,0.192506008,1.073830009,0.204204204,0.566176471,0.159159159,0.367924528
Marcus Morris Sr.,202694,2018-19,75,2091,F,103,0.102081003,1.320389986,38,0.037660999,1.342110038,45,0.044598598,1.155560017,131,0.129832001,1.030529976,0.206161137,0.626436782,0.125592417,0.424528302
Gordon Hayward,202330,2018-19,72,1863,F,6,0.00727273,1.833330035,44,0.053333302,1.25,23,0.027878799,0.86956501,143,0.173332996,1.384619951,0.261417323,0.638554217,0.157480315,0.53
Daniel Theis,1628464,2018-19,66,908,F,90,0.267856998,1.299999952,78,0.232143002,1.089740038,48,0.142856998,1.104169965,19,0.056547599,1.315790057,0.488721805,0.753846154,0.120300752,0.34375
