"name","id","season","gp","mp","midrangeattempts","proportionmr","midrangefgp","comp","scaledmra","comp_adjust"
"Jeff Teague",201952,"2013-14",78,2515,183,0.149754501,0.382513661,-0.0120952571286549,0.465116444216977,-0.00466602078771984
"Lou Williams",101150,"2013-14",59,1420,119,0.194444444,0.327731092,-0.0668778261286549,-0.0158695865335519,-0.033704238358205
"Paul Millsap",200794,"2013-14",73,2453,216,0.171021378,0.319444444,-0.075164474128655,0.713124866322719,-0.0247222515011111
"DeMarre Carroll",201960,"2013-14",73,2341,73,0.102097902,0.410958904,0.0163499858713451,-0.361578296135495,0.00671293728411016
"Pero Antic",203544,"2013-14",49,902,33,0.100917431,0.515151515,0.120542596871345,-0.662194565354576,0.0410142334905027
"Shelvin Mack",202714,"2013-14",72,1468,99,0.165,0.383838384,-0.010770534128655,-0.166177721143092,-0.00583169589545182
"John Jenkins",203098,"2013-14",13,158,6,0.125,0.666666667,0.272057748871345,-0.865110547077455,0.0806032873363559
"Gustavo Ayon",202970,"2013-14",25,421,12,0.105263158,0.5,0.105391081871345,-0.820018106694593,0.032224357838626
"Al Horford",201143,"2013-14",29,958,183,0.303482587,0.480874317,0.086265398871345,0.465116444216977,0.0529865574119902
"Dennis Schroder",203471,"2013-14",48,622,41,0.179039301,0.292682927,-0.101925991128655,-0.602071311510759,-0.0658574453936215
"Cartier Martin",201858,"2013-14",59,870,55,0.172413793,0.418181818,0.023572899871345,-0.496855617284081,0.00891715407510419
"Kyle Korver",2594,"2013-14",70,2380,175,0.223214286,0.474285714,0.0796767958713451,0.404993190373161,0.0477970528827562
"Mike Muscala",203488,"2013-14",20,215,34,0.317757009,0.470588235,0.0759793168713451,-0.654679158624099,0.0259800542455071
"Mike Scott",203118,"2013-14",79,1454,120,0.160427807,0.4,0.00539108187134507,-0.00835417980307487,0.00268428148433615
"Elton Brand",1882,"2013-14",72,1392,135,0.289079229,0.496296296,0.101687377871345,0.10437692115408,0.0534947363992698
"Avery Bradley",202340,"2013-14",60,1855,396,0.324590164,0.424242424,0.0296335058713451,2.06589807780858,0.0263010462926471
"Keith Bogans",2586,"2013-14",6,55,0,0,0,-0.394608918128655,-0.910202987460317,-0.281372613213551
"Jared Sullinger",203096,"2013-14",74,2041,186,0.171428571,0.403225806,0.00861688787134507,0.487662664408408,0.00533864166470181
"Jeff Green",201145,"2013-14",82,2805,301,0.204483696,0.315614618,-0.0789943001286549,1.35193443841327,-0.0162376176508815
"Rajon Rondo",200765,"2013-14",30,998,71,0.168646081,0.436619718,0.042010799871345,-0.376609109596449,0.0170960848792222
"Jerryd Bayless",201573,"2013-14",72,1686,243,0.28255814,0.403292181,0.00868326287134508,0.916040848045599,0.00620188778092991
"Chris Johnson",203187,"2013-14",0,0,22,0.093220339,0.227272727,-0.167336191128655,-0.744864039389823,-0.113463738587931
"Phil Pressey",203515,"2013-14",75,1132,62,0.196825397,0.258064516,-0.136544402128655,-0.444247770170742,-0.0831925065505663
