namePlayer,idPlayer,Season,Minutes,gp,Assists,Fg3Ast,Arc3Ast,Corner3Ast,RimAst,Turnovers,BadPassTO,DeadBallTO,LiveBallTO,OffPoss,Usage,PassesMade,PotAst,SecAst,playcomp
Justin Anderson,1626147,2018-19,464,48,23,11,8,3,7,23,6,12,11,999,17.33333333,351,50,3,0.289855072
Kevin Huerter,1628989,2018-19,2049,75,214,96,63,33,92,109,55,40,69,4391,15.74332403,1433,394,21,0.801398749
Omari Spellman,1629016,2018-19,805,46,47,22,18,4,20,31,12,15,16,1734,15.06361323,1186,94,4,0.584268874
Isaac Humphries,1629353,2018-19,56,5,0,0,0,0,0,0,0,0,0,127,14.38356164,73,2,0,0
Jaylen Adams,1629121,2018-19,428,34,65,34,24,10,25,28,12,10,18,924,13.55769231,770,138,12,0.36007326
Trae Young,1629027,2018-19,2503,81,653,263,159,104,336,308,161,92,216,5400,28.41538963,4477,1239,63,1.121958995
Taurean Prince,1627752,2018-19,1552,55,118,47,22,25,52,100,39,40,60,3368,19.38963431,1058,226,8,0.66487886
Dewayne Dedmon,203473,2018-19,1609,64,90,34,27,7,41,84,26,42,42,3394,17.01686122,2232,155,7,0.499110904
Vince Carter,1713,2018-19,1330,76,87,35,27,8,39,48,22,19,29,2877,16.98877805,1828,154,7,0.515887041
Miles Plumlee,203101,2018-19,173,18,17,6,5,1,6,10,5,3,7,378,17.18377088,248,18,2,0.139215686
John Collins,1628381,2018-19,1828,61,121,46,28,18,54,120,28,65,55,3916,23.50332594,2902,178,14,0.499046358
Alex Poythress,1627816,2018-19,305,21,17,11,9,2,2,13,0,12,1,651,14.53804348,451,30,0,0.405731523
Kent Bazemore,203145,2018-19,1643,67,152,64,40,24,68,121,56,40,81,3546,22.04020849,1478,296,16,0.692376107
Alex Len,203458,2018-19,1544,77,86,33,29,4,34,97,20,67,30,3359,22.01882845,1986,158,5,0.524532155
DeAndre' Bembry,1627761,2018-19,1931,82,202,92,56,36,97,141,54,52,89,4148,17.34607219,1851,419,30,0.835258485
Jayson Tatum,1628369,2018-19,2455,79,168,76,56,20,61,122,28,68,54,5052,22.26742129,2225,332,27,0.619049573
Jonathan Gibson,1626780,2018-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Brown,1627759,2018-19,1913,74,100,43,35,8,36,99,22,55,44,3968,22.08726946,1292,198,20,0.565271645
Brad Wanamaker,202954,2018-19,343,36,56,17,11,6,21,19,10,7,12,723,16.68711656,549,106,7,0.134711779
Kyrie Irving,202681,2018-19,2214,67,464,165,126,39,167,172,80,54,118,4650,29.17551651,3437,761,65,0.718637532
Terry Rozier,1626179,2018-19,1791,79,231,107,86,21,77,68,32,20,48,3665,18.63099542,3184,444,44,0.615262779
Marcus Morris,202694,2018-19,2091,75,109,41,27,14,45,92,21,52,40,4318,20.92058885,2224,216,20,0.511152115
Gordon Hayward,202330,2018-19,1863,72,244,104,78,26,91,105,41,43,62,3887,18.8588451,2358,463,25,0.713898325
Daniel Theis,1628464,2018-19,908,66,68,30,23,7,19,33,6,23,10,1884,15.54211261,1114,115,7,0.516128381
RJ Hunter,1626154,2018-19,26,1,3,2,2,0,1,0,0,0,0,53,22.58064516,20,6,1,0
Guerschon Yabusele,1627824,2018-19,251,41,15,8,7,1,5,15,3,12,3,523,17.28813559,276,29,1,0.466666667
Marcus Smart,203935,2018-19,2200,80,321,121,101,20,126,123,63,43,80,4511,14.8111332,2893,551,41,0.660249179
Semi Ojeleye,1628400,2018-19,594,56,23,12,10,2,6,19,7,10,9,1224,14.10998553,551,42,4,0.438312742
Al Horford,201143,2018-19,1973,68,283,123,89,34,109,102,38,44,58,4054,19.27118265,2914,511,32,0.73126895
Robert Williams III,1629057,2018-19,283,32,7,1,0,1,4,10,1,7,3,584,10.3500761,292,21,3,0.280952381
Aron Baynes,203382,2018-19,821,51,57,30,29,1,7,40,8,25,15,1700,15.22419187,913,96,7,0.41286791
PJ Dozier,1628408,2018-19,51,6,5,1,0,1,3,0,0,0,0,110,17.46031746,63,10,2,0
Rodions Kurucs,1629066,2018-19,1294,63,52,19,16,3,28,77,19,44,33,2800,17.98925071,1130,108,5,0.606693032
D'Angelo Russell,1626156,2018-19,2448,81,563,196,146,50,311,253,114,82,171,5120,31.8236611,4224,1012,51,0.99488511
Jared Dudley,201162,2018-19,1220,59,83,37,28,9,36,43,23,17,26,2486,10.73326249,1807,137,11,0.532745703
Spencer Dinwiddie,203915,2018-19,1914,68,311,125,79,46,130,152,52,77,75,4005,24.91723681,2699,634,41,0.888273958
DeMarre Carroll,201960,2018-19,1703,67,85,35,25,10,37,73,17,35,38,3546,18.73305398,1604,155,13,0.527858779
Theo Pinson,1629033,2018-19,211,18,21,7,6,1,7,18,10,6,12,447,19.57773512,283,41,1,0.111111111
Joe Harris,203925,2018-19,2294,76,181,74,49,25,82,121,50,49,72,4817,17.05383481,2479,367,26,0.638224141
Shabazz Napier,203894,2018-19,983,56,143,51,39,12,73,66,24,30,36,2042,24.17204301,1402,286,14,0.846921729
Alan Williams,1626210,2018-19,26,5,3,2,1,1,1,1,1,0,1,58,22.53521127,46,6,0,0.333333333
Ed Davis,202334,2018-19,1446,81,61,34,31,3,14,64,9,43,21,2949,12.93078056,2140,102,7,0.462379883
Treveon Graham,1626203,2018-19,715,35,34,15,11,4,13,17,4,12,5,1520,12.62304574,760,59,5,0.552305924
Caris LeVert,1627747,2018-19,1063,40,156,80,67,13,54,69,30,25,44,2210,24.15033986,1234,301,23,0.840163709
Rondae Hollis-Jefferson,1626178,2018-19,1234,59,96,54,38,16,36,68,18,29,39,2602,21.51770658,1855,194,8,0.674784724
Dzanan Musa,1629058,2018-19,39,9,2,1,1,0,1,4,2,2,2,86,25,45,8,2,0.5
Jarrett Allen,1628386,2018-19,2096,80,110,63,52,11,31,103,26,57,46,4397,16.13098848,2564,190,6,0.537096626
Allen Crabbe,203459,2018-19,1133,43,46,15,10,5,21,46,10,33,13,2376,16.33184524,913,86,8,0.525172103
Miles Bridges,1628970,2018-19,1696,80,95,34,27,7,40,50,19,17,33,3481,15.14919663,1479,161,7,0.429400616
Malik Monk,1628370,2018-19,1258,73,117,26,21,5,70,86,41,33,53,2618,24.48489011,900,220,9,0.701078338
Marvin Williams,101107,2018-19,2133,75,92,40,28,12,35,47,12,25,22,4345,15.06318793,2020,150,9,0.470436603
