namePlayer,idPlayer,Season,Minutes,gp,Assists,Fg3Ast,Arc3Ast,Corner3Ast,RimAst,Turnovers,BadPassTO,DeadBallTO,LiveBallTO,OffPoss,Usage,PassesMade,PotAst,SecAst,playcomp,component,zscore potassists,sigmoid,adjustedcom potential assists,zscore assists,sigmoid,adjusted assists
Giannis Antetokounmpo,203507,2018-19,2358,72,424,245,179,66,135,268,49,165,103,5053,32.27248346,3911,829,46,0.998319004,0.434783629,2.193213752,0.899638446,0.391148068,2.211795899,0.901303797,0.391872136
James Harden,201935,2017-18,2551,72,630,241,165,76,359,314,149,100,214,5133,35.98040931,3685,1177,56,1.172662074,0.391871398,3.542500373,0.971873142,0.380849287,3.770889305,0.977486939,0.383049174
James Harden,201935,2018-19,2867,78,586,218,135,83,336,387,171,131,256,5778,40.35303147,3864,1079,69,1.047155482,0.391559589,3.162528853,0.959399565,0.375662099,3.437879063,0.968867605,0.379369401
James Harden,201935,2016-17,2947,81,907,368,272,96,481,464,219,150,314,6147,33.79489399,5233,1810,66,1.337210695,0.377144876,5.99680621,0.997519487,0.376209363,5.867340149,0.997177597,0.376080421
Chris Paul,101108,2017-18,1847,58,457,264,195,69,163,128,54,45,83,3688,24.90215264,2926,895,35,1.175323224,0.384875319,2.449112939,0.920496558,0.354276406,2.46155358,0.921402247,0.354624984
Trae Young,1629027,2018-19,2503,81,653,263,159,104,336,308,161,92,216,5400,28.41538963,4477,1239,63,1.121958995,0.35020518,3.782890518,0.977749533,0.342412951,3.944962841,0.981015452,0.343556693
Eric Bledsoe,202339,2018-19,2272,78,430,166,132,34,226,165,65,65,100,4854,22.95813953,2975,745,48,0.954599469,0.376274372,1.867523878,0.866171509,0.32591814,2.257206386,0.905270333,0.340630026
D'Angelo Russell,1626156,2018-19,2448,81,563,196,146,50,311,253,114,82,171,5120,31.8236611,4224,1012,51,0.99488511,0.341903084,2.902752406,0.947982331,0.324118082,3.263805528,0.963166038,0.329309439
James Harden,201935,2014-15,2941,80,565,250,119,131,246,321,130,119,202,5971,31.28825415,3765,1129,73,1.018531841,0.33478161,3.356391874,0.966313523,0.323503997,3.278942357,0.963699302,0.322628804
Chris Paul,101108,2018-19,1857,58,473,235,160,75,195,152,85,47,105,3788,22.61567517,2949,907,37,1.14147849,0.345494418,2.495640064,0.923835606,0.319180045,2.582648214,0.929736465,0.321218759
Luka Doncic,1629029,2018-19,2318,72,429,190,110,80,193,247,118,91,156,4770,30.54059075,4148,845,59,0.917165271,0.348914244,2.255249919,0.905102421,0.315803127,2.249637972,0.904619303,0.31563456
Ben Simmons,1627732,2017-18,2703,80,661,302,256,46,250,278,115,124,154,5665,22.35404308,5926,1368,82,1.054064167,0.317112724,4.283057111,0.986387451,0.312796012,4.005510158,0.982110856,0.311439849
LeBron James,2544,2018-19,1937,55,454,146,105,41,245,197,83,83,114,4142,31.8388564,3016,892,40,1.091268651,0.335006746,2.437481158,0.919641139,0.308085985,2.438848337,0.919742117,0.308119814
LeBron James,2544,2016-17,2795,74,646,349,188,161,199,302,131,118,184,5558,29.73877031,4396,1283,74,1.062763595,0.311873373,3.953489976,0.981173613,0.306001924,3.891983939,0.980003207,0.305636905
James Harden,201935,2013-14,2777,73,446,151,101,50,240,265,104,96,169,5598,27.42642455,3346,909,43,0.92976898,0.330769665,2.503394585,0.924379451,0.305756681,2.37830102,0.915157611,0.302706376
LeBron James,2544,2017-18,3026,82,747,344,214,130,285,348,153,135,213,6157,31.48773682,4674,1426,64,1.081019656,0.304678484,4.507938214,0.989098982,0.301357178,4.656393813,0.990588751,0.301811079
Josh Smith,2746,2014-15,2301,83,277,119,54,65,136,206,76,91,115,4625,24.73584906,2802,531,17,0.821436867,0.401160142,1.037790151,0.738423389,0.296226031,1.099238953,0.750117481,0.300917235
Spencer Dinwiddie,203915,2017-18,2255,78,524,227,159,68,209,127,56,54,73,4637,20.6757535,4303,974,39,0.965409439,0.307126686,2.755416511,0.940218526,0.2887662,2.968637358,0.951136987,0.29211955
James Harden,201935,2015-16,3125,82,612,234,128,106,294,374,181,114,260,6334,32.39085239,4265,1216,58,0.971914081,0.297682709,3.693713529,0.975724521,0.290456319,3.634657843,0.974285713,0.290028011
Nikola Jokic,203999,2016-17,2008,72,359,97,80,17,214,171,60,73,98,4206,23.45936912,3675,613,18,0.814010398,0.341928793,1.355725505,0.795064102,0.271855309,1.71984895,0.848109379,0.289993016
Ricky Rubio,201937,2018-19,1867,67,416,147,93,54,215,180,91,64,116,3938,22.62361707,3729,744,68,0.920061724,0.32204416,1.863646618,0.865721425,0.278800529,2.151248582,0.895785395,0.288482455
Khris Middleton,203114,2018-19,2393,77,331,108,82,26,191,174,74,60,114,5130,25.09264161,2728,539,31,0.774420054,0.351599125,1.068808235,0.744370209,0.261719914,1.507933341,0.818754726,0.287873445
James Johnson,201949,2017-18,1912,72,280,146,109,37,101,141,44,70,71,3854,19.05756732,2925,550,14,0.856651916,0.380960824,1.111458099,0.752400846,0.286635246,1.121944197,0.754349167,0.28737748
Bradley Beal,203078,2018-19,2988,81,448,188,134,54,191,224,84,90,134,6401,28.22524163,3834,848,79,0.818224847,0.313244048,2.2668817,0.906096802,0.28382943,2.393437849,0.916325536,0.28703352
T.J. McConnell,204456,2016-17,2133,81,534,204,168,36,240,160,75,61,99,4414,14.48598131,5600,1148,53,1.035086436,0.291877341,3.430059821,0.968630885,0.282721407,3.044321504,0.954536736,0.278607644
Giannis Antetokounmpo,203507,2016-17,2845,80,434,192,144,48,151,234,58,128,106,5561,28.44952504,4629,854,55,0.790656934,0.305992096,2.290145262,0.908057579,0.277858442,2.287480045,0.90783482,0.27779028
Ben Simmons,1627732,2018-19,2664,78,610,260,215,45,240,274,118,108,166,5742,21.95535027,5187,1206,55,0.969599366,0.284392326,3.654940925,0.974789007,0.277222513,3.619521014,0.973903754,0.276970754
Nikola Jokic,203999,2017-18,2443,75,458,146,116,30,221,208,66,102,106,4872,24.30293218,4975,703,40,0.727172398,0.298104915,1.704678941,0.846144844,0.252239937,2.469121995,0.921948608,0.274837412
Patrick Beverley,201976,2016-17,2058,67,281,120,92,28,130,100,46,42,58,4246,14.21751764,2566,577,21,0.86824594,0.363013049,1.21614413,0.771384276,0.280022558,1.129512611,0.755748942,0.274346727
Giannis Antetokounmpo,203507,2017-18,2715,74,361,172,113,59,122,223,48,117,106,5489,31.39419908,4246,689,59,0.738671352,0.322625658,1.650397295,0.838944739,0.270665098,1.734985779,0.850049046,0.274247633
Stephen Curry,201939,2015-16,2700,79,527,168,122,46,264,262,114,106,156,5701,31.79026925,4476,997,72,0.87993051,0.28792773,2.8445935,0.94503854,0.272102801,2.991342602,0.952181479,0.274159451
Nikola Vucevic,202696,2018-19,2447,78,307,130,86,44,125,159,40,87,72,5108,28.1184669,3846,548,25,0.712775553,0.346342163,1.103703578,0.750953401,0.260086825,1.326291391,0.790226526,0.273688764
Damian Lillard,203081,2018-19,2838,80,551,165,120,45,296,212,113,72,140,5905,28.60495819,4288,985,66,0.859987724,0.283201498,2.798066375,0.942571245,0.266937588,3.172984552,0.959804885,0.271818181
Russell Westbrook,201566,2018-19,2593,72,784,294,196,98,358,325,173,106,219,5668,30.64169481,4325,1498,44,1.197751534,0.273683935,4.787100963,0.991732334,0.271421208,4.936425153,0.992870967,0.271732833
Donovan Mitchell,1628378,2018-19,2564,76,322,161,93,68,120,218,85,85,133,5403,31.55906029,2628,646,56,0.833737945,0.33597356,1.483675098,0.815127041,0.273861134,1.43981761,0.808426406,0.271609897
