"Name","RowId","Season","GamesPlayed","Minutes","Position","DefRebounds","FTDefRebounds","OffRebounds","Rebounds","TrueRebounds"
"Jeff Teague",201952,"2013-14",79,2542,"G",174,2,34,208,206
"Lou Williams",101150,"2013-14",60,1445,"G",114,3,10,124,121
"Paul Millsap",200794,"2013-14",74,2482,"F",473,30,154,627,597
"DeMarre Carroll",201960,"2013-14",73,2341,"F",296,31,107,403,372
"Pero Antic",203544,"2013-14",49,925,"C",152,7,57,209,202
"Shelvin Mack",202714,"2013-14",73,1490,"G",139,6,21,160,154
"John Jenkins",203098,"2013-14",13,158,"G",19,NA,3,22,NA
"Gustavo Ayon",202970,"2013-14",26,429,"F-C",83,4,42,125,121
"Al Horford",201143,"2013-14",29,958,"C-F",178,14,65,243,229
"Dennis Schroder",203471,"2013-14",49,641,"G",55,NA,5,60,NA
"Cartier Martin",201858,"2013-14",59,870,"F",97,10,13,110,100
"Kyle Korver",2594,"2013-14",71,2408,"W",260,11,22,282,271
"Mike Muscala",203488,"2013-14",20,215,"C",35,4,17,52,48
"Mike Scott",203118,"2013-14",80,1482,"F",222,23,62,284,261
"Elton Brand",1882,"2013-14",73,1414,"F",264,27,97,361,334
"Avery Bradley",202340,"2013-14",60,1855,"G",178,2,48,226,224
"Keith Bogans",2586,"2013-14",6,55,"W",3,NA,NA,3,NA
"Jared Sullinger",203096,"2013-14",74,2041,"C-F",360,27,241,601,574
"Jeff Green",201145,"2013-14",82,2805,"F",327,39,53,380,341
"Rajon Rondo",200765,"2013-14",30,998,"G",142,6,22,164,158
"Jerryd Bayless",201573,"2013-14",72,1686,"G",123,3,22,145,142
"Chris Johnson",203187,"2013-14",40,789,"W",66,2,31,97,95
"Phil Pressey",203515,"2013-14",75,1132,"G",85,1,20,105,104
"Brandon Bass",101138,"2013-14",82,2267,"F",309,22,161,470,448
"Vitor Faverani",203543,"2013-14",37,488,"C",86,8,42,128,120
"Kelly Olynyk",203482,"2013-14",70,1400,"C-F",225,33,140,365,332
"Kris Humphries",2743,"2013-14",69,1376,"C-F",282,21,127,409,388
"Gerald Wallace",2222,"2013-14",58,1416,"F",176,17,36,212,195
"Joel Anthony",201202,"2013-14",31,186,"C",23,2,15,38,36
"Chris Babb",203569,"2013-14",14,132,"G",13,NA,4,17,NA
"Andray Blatche",101154,"2013-14",73,1618,"C-F",270,25,120,390,365
"Mason Plumlee",203486,"2013-14",70,1275,"F-C",209,28,99,308,280
"Kevin Garnett",708,"2013-14",54,1109,"C-F",298,20,60,358,338
"Alan Anderson",101187,"2013-14",78,1772,"W",135,5,40,175,170
"Joe Johnson",2207,"2013-14",79,2575,"G",222,19,48,270,251
"Deron Williams",101114,"2013-14",64,2059,"G",153,NA,15,168,NA
"Marcus Thornton",201977,"2013-14",72,1741,"G",141,5,57,198,193
"Brook Lopez",201572,"2013-14",17,533,"C",63,8,39,102,94
"Marquis Teague",203104,"2013-14",40,442,"G",39,1,1,40,39
"Jorge Gutierrez",203268,"2013-14",15,244,"G",19,1,3,22,21
"Shaun Livingston",2733,"2013-14",76,1974,"G",179,3,67,246,243
"Mirza Teletovic",203141,"2013-14",72,1396,"F",206,23,60,266,243
"Paul Pierce",1718,"2013-14",75,2098,"F",322,18,26,348,330
"Andrei Kirilenko",1905,"2013-14",45,857,"F",91,19,55,146,127
"Jason Collins",2215,"2013-14",22,172,"C",12,1,7,19,18
"Bismack Biyombo",202687,"2013-14",77,1072,"C-F",261,23,105,366,343
"Jannero Pargo",2457,"2013-14",29,242,"G",19,NA,1,20,NA
"DJ White",201591,"2013-14",2,10,"F",2,1,NA,2,1
"Gerald Henderson",201945,"2013-14",77,2461,"G",280,25,30,310,285
"Josh McRoberts",201177,"2013-14",78,2360,"F",288,15,85,373,358
"Gary Neal",202390,"2013-14",52,1113,"G",80,2,10,90,88
"Luke Ridnour",2557,"2013-14",61,1140,"G",74,1,23,97,96
