namePlayer,idPlayer,Season,fga,prop36,prop7,percent36,percent7,isoPoss,isoFreq,ppp,scComp
Justin Anderson,1626147,2018-19,157,0.140127389,0.025477707,0.363636364,0.5,0,0,0,0.063694268
Kevin Huerter,1628989,2018-19,658,0.256838906,0.059270517,0.372781065,0.358974359,23,0.0297158,1,0.146737077
Omari Spellman,1629016,2018-19,244,0.012295082,0.004098361,0.333333333,0,3,0.010380599,0,0.004098361
Isaac Humphries,1629353,2018-19,21,0,0,0,0,0,0,0,0
Jaylen Adams,1629121,2018-19,110,0.190909091,0.209090909,0.428571429,0.217391304,2,0.0145985,0,0.127272727
Trae Young,1629027,2018-19,1257,0.342084328,0.331742243,0.441860465,0.386091127,154,0.090111198,0.90259701,0.360570375
Taurean Prince,1627752,2018-19,594,0.208754209,0.026936027,0.491935484,0.4375,42,0.057377,0.880952001,0.165024498
Dewayne Dedmon,203473,2018-19,526,0.039923954,0,0.476190476,0,3,0.00458716,0,0.019011407
Vince Carter,1713,2018-19,468,0.134615385,0.012820513,0.428571429,0.5,16,0.0300752,1.0625,0.064102564
Miles Plumlee,203101,2018-19,48,0.0625,0,1,0,0,0,0,0.0625
John Collins,1628381,2018-19,831,0.054151625,0.003610108,0.422222222,1,24,0.0231214,0.291667014,0.033217877
Alex Poythress,1627816,2018-19,81,0.037037037,0,0.666666667,0,0,0,0,0.024691358
Kent Bazemore,203145,2018-19,691,0.277858177,0.044862518,0.401041667,0.387096774,22,0.024830699,0.909090996,0.151372207
Alex Len,203458,2018-19,648,0.029320988,0,0.578947368,0,12,0.014580801,0.5,0.016975309
DeAndre' Bembry,1627761,2018-19,616,0.280844156,0.069805195,0.445086705,0.488372093,22,0.027397299,0.954545021,0.185242865
Jayson Tatum,1628369,2018-19,1036,0.241312741,0.094594595,0.464,0.387755102,162,0.128469,0.629630029,0.229536589
Jonathan Gibson,1626780,2018-19,0,0,0,0,0,0,0,0,0
Jaylen Brown,1627759,2018-19,792,0.223484848,0.022727273,0.480225989,0.444444444,29,0.0295316,0.586206973,0.134735872
Brad Wanamaker,202954,2018-19,105,0.333333333,0.142857143,0.485714286,0.4,0,0,0,0.219047619
Kyrie Irving,202681,2018-19,1241,0.281224819,0.261885576,0.484240688,0.495384615,199,0.131962996,0.97487402,0.394561881
Terry Rozier,1626179,2018-19,665,0.291729323,0.136842105,0.381443299,0.406593407,62,0.080103397,0.806451976,0.231516836
Marcus Morris Sr.,202694,2018-19,844,0.18957346,0.041469194,0.38125,0.285714286,92,0.091179399,0.641304016,0.142596938
Gordon Hayward,202330,2018-19,635,0.198425197,0.061417323,0.436507937,0.41025641,25,0.030302999,0.680000007,0.132417063
Daniel Theis,1628464,2018-19,266,0.003759398,0,0,0,1,0.00297619,1,0
RJ Hunter,1626154,2018-19,13,0.230769231,0,0.666666667,0,1,0.071428599,0,0.153846154
Guerschon Yabusele,1627824,2018-19,77,0.116883117,0.012987013,0.444444444,1,0,0,0,0.064935065
Marcus Smart,203935,2018-19,567,0.15696649,0.082892416,0.494382022,0.382978723,30,0.040053401,0.733332992,0.138719923
Semi Ojeleye,1628400,2018-19,158,0.069620253,0.012658228,0.363636364,0.5,7,0.0357143,0.714286029,0.03164557
Al Horford,201143,2018-19,723,0.099585062,0.005532503,0.569444444,0.25,24,0.027809999,1.208330035,0.091694943
Robert Williams III,1629057,2018-19,51,0,0,0,0,0,0,0,0
Aron Baynes,203382,2018-19,223,0.004484305,0,1,0,0,0,0,0.004484305
PJ Dozier,1628408,2018-19,21,0.142857143,0.047619048,0.333333333,0,0,0,0,0.047619048
Rodions Kurucs,1629066,2018-19,449,0.162583519,0.028953229,0.520547945,0.307692308,30,0.0531915,1.700000048,0.183966755
D'Angelo Russell,1626156,2018-19,1517,0.322346737,0.301252472,0.443762781,0.437636761,199,0.107975998,0.834170997,0.364955086
Jared Dudley,201162,2018-19,239,0.046025105,0,0.272727273,0,2,0.00660066,1,0.012552301
Spencer Dinwiddie,203915,2018-19,828,0.328502415,0.266908213,0.459558824,0.50678733,253,0.224888992,1.047430038,0.52178737
DeMarre Carroll,201960,2018-19,573,0.129144852,0.02443281,0.405405405,0.285714286,26,0.034075999,0.769231021,0.085549139
Theo Pinson,1629033,2018-19,73,0.301369863,0.109589041,0.409090909,0.125,12,0.12,1.083330035,0.136986301
Joe Harris,203925,2018-19,748,0.135026738,0.001336898,0.455445545,0,7,0.00756757,1.142860055,0.061497326
