"","Shooting","Defense","Playmaking","ShotCreating"
"Justin Anderson",-0.068202784,0.109253155,0.289855072,0.063694268
"Kevin Huerter",0.112308114,-2.205580574,0.801398749,0.146737077
"Omari Spellman",0.01837526,-0.537221057,0.584268874,0.004098361
"Isaac Humphries",-2.191326425,-3.965601255,0,0
"Jaylen Adams",0.020569162,-3.734729095,0.36007326,0.127272727
"Trae Young",0.009987702,-4.517485888,1.121958995,0.360570375
"Taurean Prince",0.173239146,-1.926881787,0.66487886,0.165024498
"Dewayne Dedmon",0.092325052,1.146982037,0.499110904,0.019011407
"Vince Carter",0.124204157,-0.250474789,0.515887041,0.064102564
"Miles Plumlee",-2,-3.017125308,0.139215686,0.0625
"John Collins",0.004920608,-0.516129074,0.499046358,0.033217877
"Alex Poythress",-1.970611414,-1.951923803,0.405731523,0.024691358
"Kent Bazemore",-0.009053609,0.599508225,0.692376107,0.151372207
"Alex Len",0.02514849,0.58817557,0.524532155,0.016975309
"DeAndre' Bembry",-0.11814299,1.067530148,0.835258485,0.185242865
"Jayson Tatum",0.086962203,0.583981114,0.619049573,0.229536589
"Jaylen Brown",0.016025457,0.231335142,0.565271645,0.134735872
"Brad Wanamaker",0.136223217,0.377185441,0.134711779,0.219047619
"Kyrie Irving",0.201635938,0.608599271,0.718637532,0.394561881
"Terry Rozier",0.06296156,0.253893266,0.615262779,0.231516836
"Marcus Morris Sr.",0.11298223,-1.957837928,0.511152115,0.142596938
"Gordon Hayward",-0.012428824,0.029085809,0.713898325,0.132417063
"Daniel Theis",0.065789989,0.181687606,0.516128381,0
"RJ Hunter",-1.912908369,4.948811466,0,0.153846154
"Guerschon Yabusele",-2.073787156,2.503432369,0.466666667,0.064935065
"Marcus Smart",0.06233413,2.26768339,0.660249179,0.138719923
"Semi Ojeleye",-0.068536651,0.925540945,0.438312742,0.03164557
"Al Horford",0.035399693,2.193769533,0.73126895,0.091694943
"Robert Williams III",-2,1.914204638,0.280952381,0
"Aron Baynes",-0.021323844,3.516294504,0.41286791,0.004484305
"PJ Dozier",-2.205545305,0.017308646,0,0.047619048
"Rodions Kurucs",-0.041188315,-0.566334731,0.606693032,0.183966755
"D'Angelo Russell",0.137265689,-0.908027662,0.99488511,0.364955086
"Jared Dudley",0.027790687,2.605369031,0.532745703,0.012552301
"Spencer Dinwiddie",0.051047285,-0.762442134,0.888273958,0.52178737
"DeMarre Carroll",0.039531889,-0.546824277,0.527858779,0.085549139
"Theo Pinson",-2.179452569,2.234528933,0.111111111,0.136986301
"Joe Harris",0.309710283,-0.68135903,0.638224141,0.061497326
